loanID,origChannel,sellerName,origIntRate,orgUPB,orgLoanTerm,orginationDate,firstPaymentDate,orgLTV,orgCombinedLTV,numBorrowers,orgDebttoIncomeRatio,borrowerCreditScoreAtOrigination,firstTimeHomeBuyer,loanPurpose,propType,numUnits,occType,propertyState,zipCodeShort,priMortgageInsurancePercent,prodType,coBorrowerCreditScoreAtOrigination,mortInsType,reloMortIndicator,delinquency
100007365142,R,JPMORGAN CHASE BANK  NA,8.0,75000,360,12/1999,02/2000,79,,1.0,62.0,763.0,N,R,SF,1,P,PA,173,,FRM,,,N,More than 90 d
100007386460,B,JPMORGAN CHASE BANK  NA,7.875,55000,180,01/2000,03/2000,69,,1.0,12.0,633.0,N,R,CO,1,P,MD,208,,FRM,,,N,More than 90 d
100023274028,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8.0,130000,360,01/2000,03/2000,61,,2.0,34.0,646.0,N,P,SF,1,P,GA,300,,FRM,782.0,,N,not delinquent
100026859568,C,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8.375,107000,360,02/2000,04/2000,95,,1.0,37.0,676.0,N,P,SF,1,P,MO,633,25.0,FRM,,1.0,N,More than 90 d
100028993931,R,WELLS FARGO BANK  N.A.,8.0,37000,180,02/2000,04/2000,63,,1.0,25.0,518.0,N,C,SF,1,P,NC,286,,FRM,,,N,More than 90 d
100035719682,R,JP MORGAN CHASE BANK  NA,8.0,60000,360,01/2000,03/2000,97,,1.0,39.0,603.0,Y,P,SF,1,P,MI,491,35.0,FRM,,1.0,N,More than 90 d
100048724218,B,JPMORGAN CHASE BANK  NA,7.75,153000,360,12/1999,02/2000,80,,1.0,45.0,761.0,N,P,SF,1,S,OR,977,,FRM,,,N,90 days
100057706656,B,FLAGSTAR BANK  FSB,8.25,137000,360,12/1999,02/2000,80,,1.0,34.0,747.0,N,P,SF,1,P,OH,450,,FRM,,,N,90 days
100079064875,R,GMAC MORTGAGE  LLC,8.375,175000,360,01/2000,03/2000,80,,2.0,48.0,772.0,N,P,SF,1,P,CO,812,,FRM,791.0,,N,More than 90 d
100088638564,R,USAA FEDERAL SAVINGS BANK,8.25,202000,360,01/2000,03/2000,80,,2.0,41.0,706.0,N,P,SF,1,P,OH,442,,FRM,686.0,,N,More than 90 d
100094030068,C,CITIMORTGAGE  INC.,7.75,152000,360,11/1999,01/2000,85,,1.0,41.0,604.0,N,R,SF,1,P,NV,891,25.0,FRM,,1.0,N,90 days
100100228738,R,JPMORGAN CHASE BANK  NA,8.0,84000,360,01/2000,03/2000,75,,2.0,57.0,676.0,N,P,SF,1,P,IN,462,,FRM,671.0,,N,60 days
100119700071,R,WELLS FARGO BANK  N.A.,8.125,126000,360,11/1999,01/2000,95,,2.0,19.0,680.0,Y,P,SF,1,P,FL,333,30.0,FRM,653.0,1.0,N,90 days
100122893931,R,OTHER,7.5,90000,360,12/1999,02/2000,90,,1.0,23.0,688.0,Y,P,SF,1,P,HI,967,25.0,FRM,,1.0,N,More than 90 d
100132383737,C,BANK OF AMERICA  N.A.,7.625,165000,360,12/1999,02/2000,80,,2.0,25.0,646.0,N,R,SF,1,P,TN,370,,FRM,745.0,,N,More than 90 d
100135299882,R,BANK OF AMERICA  N.A.,8.125,129000,360,01/2000,03/2000,93,,2.0,36.0,668.0,Y,P,SF,1,P,LA,704,30.0,FRM,698.0,2.0,N,90 days
100138190869,R,CITIMORTGAGE  INC.,8.375,49000,360,01/2000,03/2000,31,,1.0,28.0,576.0,N,C,SF,1,P,CA,908,,FRM,,,N,More than 90 d
100151690382,R,JPMORGAN CHASE BANK  NA,8.125,155000,360,12/1999,02/2000,83,,2.0,29.0,630.0,N,P,SF,1,P,NY,125,17.0,FRM,647.0,1.0,N,More than 90 d
100162317966,C,JPMORGAN CHASE BANK  NA,7.875,82000,360,12/1999,02/2000,95,,1.0,49.0,758.0,Y,P,SF,1,P,TX,750,25.0,FRM,,1.0,N,More than 90 d
100178281207,R,WELLS FARGO BANK  N.A.,7.875,54000,360,12/1999,02/2000,80,,1.0,22.0,791.0,N,P,SF,1,P,FL,338,,FRM,,,N,More than 90 d
100185534396,C,FLAGSTAR BANK  FSB,7.875,153000,360,12/1999,01/2000,94,,1.0,33.0,800.0,N,P,SF,1,P,AL,352,25.0,FRM,,1.0,N,More than 90 d
100191284472,R,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,8.125,89000,360,12/1999,02/2000,97,,2.0,36.0,646.0,Y,P,SF,1,P,FL,342,30.0,FRM,,1.0,N,More than 90 d
100199760845,B,OTHER,7.625,180000,180,01/2000,03/2000,75,,2.0,38.0,755.0,N,C,CO,1,P,IL,606,,FRM,751.0,,N,More than 90 d
100201079370,B,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8.875,59000,360,02/2000,04/2000,73,,2.0,36.0,678.0,N,R,SF,1,P,CA,954,,FRM,689.0,,N,More than 90 d
100205888542,R,OTHER,7.5,240000,360,01/2000,02/2000,80,,2.0,59.0,712.0,N,R,SF,1,P,VA,234,,FRM,741.0,,N,More than 90 d
100207354995,B,JPMORGAN CHASE BANK  NA,7.875,74000,360,01/2000,03/2000,80,,1.0,39.0,636.0,N,C,SF,1,P,ID,835,,FRM,,,N,More than 90 d
100223375008,R,BANK OF AMERICA  N.A.,8.25,121000,360,02/2000,04/2000,71,,3.0,24.0,665.0,N,P,PU,1,P,CA,957,,FRM,717.0,,N,More than 90 d
100244595640,B,OTHER,8.625,110000,360,02/2000,04/2000,88,,2.0,40.0,746.0,Y,P,SF,1,P,TX,762,25.0,FRM,752.0,1.0,N,More than 90 d
100247319272,B,FLAGSTAR BANK  FSB,8.0,147000,360,12/1999,02/2000,80,,2.0,31.0,768.0,N,P,SF,1,P,CA,917,,FRM,798.0,,N,More than 90 d
100249783497,R,JP MORGAN CHASE BANK  NA,7.625,108000,360,12/1999,02/2000,63,,1.0,16.0,748.0,N,P,SF,1,P,MI,493,,FRM,,,N,More than 90 d
100254682769,B,GMAC MORTGAGE  LLC,8.5,80000,180,02/2000,04/2000,80,,1.0,43.0,758.0,N,P,SF,1,I,TX,750,,FRM,,,N,More than 90 d
100267077513,C,CITIMORTGAGE  INC.,7.875,43000,360,12/1999,02/2000,35,,1.0,17.0,768.0,N,P,SF,1,P,OH,447,,FRM,,,N,More than 90 d
100268776682,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,7.625,60000,360,11/1999,01/2000,43,,2.0,21.0,740.0,N,P,SF,1,P,PA,156,,FRM,,,N,More than 90 d
100275814287,C,JPMORGAN CHASE BANK  NA,7.375,40000,360,12/1999,02/2000,58,,2.0,34.0,787.0,N,P,SF,1,P,MO,653,,FRM,787.0,,N,More than 90 d
100282003625,C,OTHER,8.375,42000,360,02/2000,04/2000,54,,1.0,23.0,784.0,N,P,SF,1,P,NY,140,,FRM,,,N,More than 90 d
100282946250,C,AMTRUST BANK,8.25,73000,360,12/1999,02/2000,27,,2.0,38.0,790.0,N,P,CO,1,I,SC,295,,FRM,785.0,,N,More than 90 d
100288146040,B,NETBANK FUNDING SERVICES,8.5,90000,360,02/2000,03/2000,90,,2.0,8.0,684.0,N,R,SF,1,P,LA,712,17.0,FRM,736.0,1.0,N,More than 90 d
100289940808,B,JPMORGAN CHASE BANK  NA,7.875,40000,360,10/1999,12/1999,66,,2.0,25.0,797.0,N,R,SF,1,P,IN,468,,FRM,797.0,,N,not delinquent
100292236815,R,OTHER,8.5,57000,360,02/2000,04/2000,95,,1.0,56.0,709.0,N,P,SF,1,P,MD,212,25.0,FRM,,1.0,N,More than 90 d
100295363099,R,WELLS FARGO BANK  N.A.,8.0,105000,360,12/1999,02/2000,42,,2.0,40.0,779.0,N,C,SF,1,P,NJ,88,,FRM,,,N,More than 90 d
100297620817,B,BANK OF AMERICA  N.A.,8.0,75000,360,02/2000,04/2000,79,,2.0,24.0,732.0,N,R,SF,1,P,OH,431,,FRM,748.0,,N,90 days
100317365859,R,OTHER,8.625,221000,360,02/2000,04/2000,80,,1.0,39.0,,N,P,SF,1,P,CA,951,,FRM,,,N,More than 90 d
100329180175,C,CITIMORTGAGE  INC.,7.875,184000,360,01/2000,03/2000,80,,2.0,54.0,741.0,N,C,SF,1,P,MN,550,,FRM,755.0,,N,More than 90 d
100330169730,C,SUNTRUST MORTGAGE INC.,7.875,144000,360,01/2000,03/2000,80,,2.0,37.0,680.0,N,C,SF,1,P,CO,805,,FRM,648.0,,N,More than 90 d
100334518350,C,AMTRUST BANK,7.25,270000,180,11/1999,01/2000,70,,2.0,11.0,713.0,N,P,SF,4,I,NY,113,,FRM,774.0,,N,More than 90 d
100339426081,B,JPMORGAN CHASE BANK  NA,7.75,153000,360,12/1999,02/2000,80,,2.0,41.0,700.0,N,P,SF,1,P,IL,600,,FRM,,,N,90 days
100355135394,C,JPMORGAN CHASE BANK  NA,8.0,224000,360,11/1999,01/2000,80,,2.0,36.0,776.0,N,R,SF,1,P,MO,640,,FRM,,,N,More than 90 d
100360488003,C,JPMORGAN CHASE BANK  NA,8.125,114000,360,01/2000,03/2000,95,,1.0,23.0,797.0,N,P,SF,1,P,GA,301,30.0,FRM,,1.0,N,More than 90 d
100362262689,R,OTHER,7.75,227000,360,12/1999,02/2000,77,,2.0,23.0,775.0,N,P,SF,1,P,IL,606,,FRM,730.0,,N,More than 90 d
100365391654,C,BANK OF AMERICA  N.A.,8.25,202000,360,12/1999,02/2000,80,,2.0,36.0,755.0,N,P,SF,1,P,MI,481,,FRM,743.0,,N,More than 90 d
100366510395,R,OTHER,7.875,63000,180,01/2000,03/2000,80,,1.0,29.0,635.0,N,C,SF,1,P,PR,6,,FRM,,,N,not delinquent
100369877930,R,WELLS FARGO BANK  N.A.,7.625,88000,180,01/2000,03/2000,50,,2.0,35.0,689.0,N,C,CO,1,P,NJ,88,,FRM,540.0,,N,More than 90 d
100377984203,B,OTHER,7.875,66000,360,12/1999,02/2000,80,,1.0,31.0,803.0,N,P,SF,1,P,IA,528,,FRM,,,N,More than 90 d
100382789040,B,BANK OF AMERICA  N.A.,8.25,91000,360,12/1999,02/2000,88,,2.0,44.0,703.0,N,R,SF,1,P,FL,349,25.0,FRM,678.0,1.0,N,More than 90 d
100392250518,B,BANK OF AMERICA  N.A.,7.75,86000,300,12/1999,02/2000,55,,2.0,48.0,726.0,N,R,SF,1,P,WI,531,,FRM,704.0,,N,90 days
100393376629,R,WELLS FARGO BANK  N.A.,7.625,50000,360,12/1999,02/2000,90,,1.0,37.0,716.0,Y,P,SF,1,P,GA,317,17.0,FRM,,1.0,N,More than 90 d
