loanID,origChannel,sellerName,origIntRate,orgUPB,orgLoanTerm,orginationDate,firstPaymentDate,orgLTV,orgCombinedLTV,numBorrowers,orgDebttoIncomeRatio,borrowerCreditScoreAtOrigination,firstTimeHomeBuyer,loanPurpose,propType,numUnits,occType,propertyState,zipCodeShort,priMortgageInsurancePercent,prodType,coBorrowerCreditScoreAtOrigination,mortInsType,reloMortIndicator
100007365142,R,JPMORGAN CHASE BANK  NA,8,75000,360,12/1999,02/2000,79,,1,62,763,N,R,SF,1,P,PA,173,,FRM,,,N
100007386460,B,JPMORGAN CHASE BANK  NA,7.875,55000,180,01/2000,03/2000,69,,1,12,633,N,R,CO,1,P,MD,208,,FRM,,,N
100023274028,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8,130000,360,01/2000,03/2000,61,,2,34,646,N,P,SF,1,P,GA,300,,FRM,782,,N
100026859568,C,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8.375,107000,360,02/2000,04/2000,95,,1,37,676,N,P,SF,1,P,MO,633,25,FRM,,1,N
100028993931,R,WELLS FARGO BANK  N.A.,8,37000,180,02/2000,04/2000,63,,1,25,518,N,C,SF,1,P,NC,286,,FRM,,,N
100035719682,R,JP MORGAN CHASE BANK  NA,8,60000,360,01/2000,03/2000,97,,1,39,603,Y,P,SF,1,P,MI,491,35,FRM,,1,N
100048724218,B,JPMORGAN CHASE BANK  NA,7.75,153000,360,12/1999,02/2000,80,,1,45,761,N,P,SF,1,S,OR,977,,FRM,,,N
100057706656,B,FLAGSTAR BANK  FSB,8.25,137000,360,12/1999,02/2000,80,,1,34,747,N,P,SF,1,P,OH,450,,FRM,,,N
100079064875,R,GMAC MORTGAGE  LLC,8.375,175000,360,01/2000,03/2000,80,,2,48,772,N,P,SF,1,P,CO,812,,FRM,791,,N
100088638564,R,USAA FEDERAL SAVINGS BANK,8.25,202000,360,01/2000,03/2000,80,,2,41,706,N,P,SF,1,P,OH,442,,FRM,686,,N
100094030068,C,CITIMORTGAGE  INC.,7.75,152000,360,11/1999,01/2000,85,,1,41,604,N,R,SF,1,P,NV,891,25,FRM,,1,N
100100228738,R,JPMORGAN CHASE BANK  NA,8,84000,360,01/2000,03/2000,75,,2,57,676,N,P,SF,1,P,IN,462,,FRM,671,,N
100119700071,R,WELLS FARGO BANK  N.A.,8.125,126000,360,11/1999,01/2000,95,,2,19,680,Y,P,SF,1,P,FL,333,30,FRM,653,1,N
100122893931,R,OTHER,7.5,90000,360,12/1999,02/2000,90,,1,23,688,Y,P,SF,1,P,HI,967,25,FRM,,1,N
100132383737,C,BANK OF AMERICA  N.A.,7.625,165000,360,12/1999,02/2000,80,,2,25,646,N,R,SF,1,P,TN,370,,FRM,745,,N
100135299882,R,BANK OF AMERICA  N.A.,8.125,129000,360,01/2000,03/2000,93,,2,36,668,Y,P,SF,1,P,LA,704,30,FRM,698,2,N
100138190869,R,CITIMORTGAGE  INC.,8.375,49000,360,01/2000,03/2000,31,,1,28,576,N,C,SF,1,P,CA,908,,FRM,,,N
100151690382,R,JPMORGAN CHASE BANK  NA,8.125,155000,360,12/1999,02/2000,83,,2,29,630,N,P,SF,1,P,NY,125,17,FRM,647,1,N
100162317966,C,JPMORGAN CHASE BANK  NA,7.875,82000,360,12/1999,02/2000,95,,1,49,758,Y,P,SF,1,P,TX,750,25,FRM,,1,N
100178281207,R,WELLS FARGO BANK  N.A.,7.875,54000,360,12/1999,02/2000,80,,1,22,791,N,P,SF,1,P,FL,338,,FRM,,,N
100185534396,C,FLAGSTAR BANK  FSB,7.875,153000,360,12/1999,01/2000,94,,1,33,800,N,P,SF,1,P,AL,352,25,FRM,,1,N
100191284472,R,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,8.125,89000,360,12/1999,02/2000,97,,2,36,646,Y,P,SF,1,P,FL,342,30,FRM,,1,N
100199760845,B,OTHER,7.625,180000,180,01/2000,03/2000,75,,2,38,755,N,C,CO,1,P,IL,606,,FRM,751,,N
100201079370,B,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8.875,59000,360,02/2000,04/2000,73,,2,36,678,N,R,SF,1,P,CA,954,,FRM,689,,N
100205888542,R,OTHER,7.5,240000,360,01/2000,02/2000,80,,2,59,712,N,R,SF,1,P,VA,234,,FRM,741,,N
100207354995,B,JPMORGAN CHASE BANK  NA,7.875,74000,360,01/2000,03/2000,80,,1,39,636,N,C,SF,1,P,ID,835,,FRM,,,N
100223375008,R,BANK OF AMERICA  N.A.,8.25,121000,360,02/2000,04/2000,71,,3,24,665,N,P,PU,1,P,CA,957,,FRM,717,,N
100244595640,B,OTHER,8.625,110000,360,02/2000,04/2000,88,,2,40,746,Y,P,SF,1,P,TX,762,25,FRM,752,1,N
100247319272,B,FLAGSTAR BANK  FSB,8,147000,360,12/1999,02/2000,80,,2,31,768,N,P,SF,1,P,CA,917,,FRM,798,,N
100249783497,R,JP MORGAN CHASE BANK  NA,7.625,108000,360,12/1999,02/2000,63,,1,16,748,N,P,SF,1,P,MI,493,,FRM,,,N
100254682769,B,GMAC MORTGAGE  LLC,8.5,80000,180,02/2000,04/2000,80,,1,43,758,N,P,SF,1,I,TX,750,,FRM,,,N
100267077513,C,CITIMORTGAGE  INC.,7.875,43000,360,12/1999,02/2000,35,,1,17,768,N,P,SF,1,P,OH,447,,FRM,,,N
100268776682,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,7.625,60000,360,11/1999,01/2000,43,,2,21,740,N,P,SF,1,P,PA,156,,FRM,,,N
100275814287,C,JPMORGAN CHASE BANK  NA,7.375,40000,360,12/1999,02/2000,58,,2,34,787,N,P,SF,1,P,MO,653,,FRM,787,,N
100282003625,C,OTHER,8.375,42000,360,02/2000,04/2000,54,,1,23,784,N,P,SF,1,P,NY,140,,FRM,,,N
100282946250,C,AMTRUST BANK,8.25,73000,360,12/1999,02/2000,27,,2,38,790,N,P,CO,1,I,SC,295,,FRM,785,,N
100288146040,B,NETBANK FUNDING SERVICES,8.5,90000,360,02/2000,03/2000,90,,2,8,684,N,R,SF,1,P,LA,712,17,FRM,736,1,N
100289940808,B,JPMORGAN CHASE BANK  NA,7.875,40000,360,10/1999,12/1999,66,,2,25,797,N,R,SF,1,P,IN,468,,FRM,797,,N
100292236815,R,OTHER,8.5,57000,360,02/2000,04/2000,95,,1,56,709,N,P,SF,1,P,MD,212,25,FRM,,1,N
100295363099,R,WELLS FARGO BANK  N.A.,8,105000,360,12/1999,02/2000,42,,2,40,779,N,C,SF,1,P,NJ,088,,FRM,,,N
100297620817,B,BANK OF AMERICA  N.A.,8,75000,360,02/2000,04/2000,79,,2,24,732,N,R,SF,1,P,OH,431,,FRM,748,,N
100317365859,R,OTHER,8.625,221000,360,02/2000,04/2000,80,,1,39,,N,P,SF,1,P,CA,951,,FRM,,,N
100329180175,C,CITIMORTGAGE  INC.,7.875,184000,360,01/2000,03/2000,80,,2,54,741,N,C,SF,1,P,MN,550,,FRM,755,,N
100330169730,C,SUNTRUST MORTGAGE INC.,7.875,144000,360,01/2000,03/2000,80,,2,37,680,N,C,SF,1,P,CO,805,,FRM,648,,N
100334518350,C,AMTRUST BANK,7.25,270000,180,11/1999,01/2000,70,,2,11,713,N,P,SF,4,I,NY,113,,FRM,774,,N
100339426081,B,JPMORGAN CHASE BANK  NA,7.75,153000,360,12/1999,02/2000,80,,2,41,700,N,P,SF,1,P,IL,600,,FRM,,,N
100355135394,C,JPMORGAN CHASE BANK  NA,8,224000,360,11/1999,01/2000,80,,2,36,776,N,R,SF,1,P,MO,640,,FRM,,,N
100360488003,C,JPMORGAN CHASE BANK  NA,8.125,114000,360,01/2000,03/2000,95,,1,23,797,N,P,SF,1,P,GA,301,30,FRM,,1,N
100362262689,R,OTHER,7.75,227000,360,12/1999,02/2000,77,,2,23,775,N,P,SF,1,P,IL,606,,FRM,730,,N
100365391654,C,BANK OF AMERICA  N.A.,8.25,202000,360,12/1999,02/2000,80,,2,36,755,N,P,SF,1,P,MI,481,,FRM,743,,N
100366510395,R,OTHER,7.875,63000,180,01/2000,03/2000,80,,1,29,635,N,C,SF,1,P,PR,006,,FRM,,,N
100369877930,R,WELLS FARGO BANK  N.A.,7.625,88000,180,01/2000,03/2000,50,,2,35,689,N,C,CO,1,P,NJ,088,,FRM,540,,N
100377984203,B,OTHER,7.875,66000,360,12/1999,02/2000,80,,1,31,803,N,P,SF,1,P,IA,528,,FRM,,,N
100382789040,B,BANK OF AMERICA  N.A.,8.25,91000,360,12/1999,02/2000,88,,2,44,703,N,R,SF,1,P,FL,349,25,FRM,678,1,N
100392250518,B,BANK OF AMERICA  N.A.,7.75,86000,300,12/1999,02/2000,55,,2,48,726,N,R,SF,1,P,WI,531,,FRM,704,,N
100393376629,R,WELLS FARGO BANK  N.A.,7.625,50000,360,12/1999,02/2000,90,,1,37,716,Y,P,SF,1,P,GA,317,17,FRM,,1,N
100394926109,B,OTHER,8,90000,360,12/1999,03/2000,72,,2,50,695,N,R,SF,1,P,OR,978,,FRM,,,N
100399640918,R,SUNTRUST MORTGAGE INC.,7.625,164000,360,12/1999,02/2000,80,,2,41,787,N,P,SF,1,P,GA,301,,FRM,800,,N
100408472956,B,OTHER,8.5,20000,120,03/2000,05/2000,90,,2,23,698,Y,P,SF,1,P,TX,792,12,FRM,677,1,N
100415274181,R,GMAC MORTGAGE  LLC,7.75,91000,360,12/1999,02/2000,75,,1,49,776,N,P,SF,1,P,IL,622,,FRM,,,N
100420937074,B,GMAC MORTGAGE  LLC,8.375,148000,360,01/2000,03/2000,80,,1,35,754,N,P,SF,1,S,FL,334,25,FRM,,1,N
100426923444,C,BANK OF AMERICA  N.A.,8.375,92000,360,02/2000,04/2000,95,,1,46,631,N,P,PU,1,P,AZ,857,30,FRM,,1,N
100437808415,C,OTHER,7.875,95000,360,02/2000,04/2000,90,,2,58,714,N,C,SF,1,P,CA,953,25,FRM,,1,N
